Item Name,Qty,Price (total) (USD),Item link,Notes
Resistor 10k,5,$0.24,https://dratek.cz/arduino-platforma/7650-rezistor-10k-0.25-w-1.html,"Resistors for buttons, so that the circuit works"
Button ,5,$0.47,https://dratek.cz/arduino-platforma/176310-mikrospinac-tlacitko-6-x-6-x-8-mm.html,"The buttons, used for skipping songs, changing volume, pausing, etc."
GY-PCM5102 I2S audio module,1,$4.61,https://www.laskakit.cz/gy-pcm5102-i2s-audio-modul/,"The audio generator, changes digital sound to analog"
3.3v micro sd card module,1,$3.20,https://www.laskakit.cz/laskakit-microsd-card-modul/,"Micro sd card reader, reads the micro sd card"
Oled display 128x64 white,1,$7.86,https://dratek.cz/arduino-platforma/3181-iic-i2c-oled-1-3-displej-128x64-bily.html,"Oled display, shows the user data like volume, info about songs, battery percent etc."
Resistor 100k,1,$0.05,https://dratek.cz/arduino-platforma/7653-rezistor-100k-0.25-w-1.html,"Resistor for voltage divider, wich stepdowns the voltage so the adc can read it"
Resistor 330k,1,$0.05,https://dratek.cz/arduino-platforma/174965-metalizovany-rezistor-330k-0-25w-1.html,"Resistor for voltage divider, wich stepdowns the voltage so the adc can read it"
Condensator 100microfarad 50v,4,$0.20,https://dratek.cz/arduino-platforma/7825-kondenzator-100uf-50v.html,"Condensators, smooths the voltage and smoothes out current spikes"
Fuse Fast 250v 2A ,10,$0.19,https://www.tme.eu/cz/details/zks-2a/pojistky-5x20mm-rychle/eska/520-620/,"Fast fuses, if there is a short circuit, the fuses will go of and disconnect the battery from the circuit, saving the battery and the person"
"Diode Schottky; THT; 40V; 3A; DO201AD; Ufmax: 0,475V ",2,$0.64,https://www.tme.eu/cz/details/1n5822-st/diody-schottky-tht/stmicroelectronics/1n5822/,"Diode, prevents opposite polarity battery connections"
Dupont female pins,1,$0.33,https://dratek.cz/arduino-platforma/913-dupont-dutinkova-lista-samice-samec.html?cv,I will use these dupont pins for plugging in oled display and other things
Dupont male pins,1,$0.15,https://dratek.cz/arduino-platforma/1331-dupont-40pin-2-54-mm-kolikova-lista-rovna.html,"Same as before, but they are male version"
JST 6 pin connector,2,$1.49,https://www.tme.eu/cz/katalog/signalove-konektory-raster-1-00mm_112946/?queryPhrase=SM06B&keywordSetName=extended,"SMD jst 6 pin connector, connects the micro sd card reader to the main pcb"
JST 6 pin cable,2,$1.41,https://dratek.cz/arduino-platforma/122186-jst-sh-1.0mm-6-pin-vodic-samice.html,The cable for the smd jst connector
Shurter Fuse holder 10A 20x5mm,2,$2.28,https://www.tme.eu/cz/details/0031.8211/pojistkova-pouzdra-do-pcb/schurter/,"Fuse holder, holds the fuse, so when the fuse goes off, you can juts replace the fuse, no desoldering"
JST battery teminal,3,$0.93,https://www.tme.eu/cz/details/s2b-ph-k-s/signalove-konektory-raster-2-00mm/jst/s2b-ph-k-s-lf-sn/,"Battery terminal, the battery connects to it and distributes the power"
Rasberry pi pico 2 WH,1,$9.71,https://www.tme.eu/cz/details/sc1634/raspberry-pi-vestavene-systemy/raspberry-pi/raspberry-pi-pico-2-wh/,"The main brain of the system, reads the micro sd card, runs the ui menu, sends the sound output to the sound chip."
Li-Po battery 3.7v 450mah,1,$5.90,https://dratek.cz/arduino-platforma/179445-lipol-baterie-502248-450mah-3-7v.html,Shipping to czech republic
JLCPCB PCB,5,$3.20,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010,Shipping to czech republic
Shipping Dratek.cz,1,$4.00,https://www.dratek.cz,Shipping to czech republic
Shipping tme.eu ,1,$8.47,https://www.tme.eu/,
Shipping laskakit,1,$3.76,https://www.laskakit.cz,
Shipping JLCPCB,1,$12.00,https://jlcpcb.com/,
Total Price (USD),,$65.82,,
